user,R,phase,attack
user_83,1.233,GREEN,0
user_84,0.8,GREEN,0
user_85,0.0,GREEN,0
user_86,1.1,GREEN,0
user_87,0.8,GREEN,0
user_88,0.275,GREEN,0
user_89,0.0,GREEN,0
user_90,1.132,GREEN,0
user_91,1.4,GREEN,0
user_92,0.0,GREEN,0
user_93,1.495,GREEN,0
user_94,0.8,GREEN,0
user_95,1.233,GREEN,0
user_96,1.4,GREEN,0
user_97,3.175,ORANGE,1
user_98,1.4,GREEN,0
user_99,0.8,GREEN,0
user_100,1.132,GREEN,0
user_101,0.0,GREEN,0
user_102,1.495,GREEN,0
user_103,1.4,GREEN,0
user_104,0.8,GREEN,0
user_105,0.0,GREEN,0
user_106,2.285,ORANGE,1
user_107,1.4,GREEN,0
user_108,0.8,GREEN,0
user_109,0.8,GREEN,0
user_110,0.8,GREEN,0
user_111,1.4,GREEN,0
user_112,0.8,GREEN,0
user_113,0.8,GREEN,0
user_114,1.4,GREEN,0
user_115,1.4,GREEN,0
user_116,1.4,GREEN,0
user_117,2.285,ORANGE,1
user_118,1.4,GREEN,0
user_119,1.4,GREEN,0
user_120,1.495,GREEN,0
user_121,1.495,GREEN,0
user_122,1.4,GREEN,0
user_123,0.8,GREEN,0
user_124,1.4,GREEN,0
user_125,1.4,GREEN,0
user_126,0.8,GREEN,0
user_127,2.285,ORANGE,1
user_128,1.4,GREEN,0
user_129,1.951,GREEN,0
user_130,0.8,GREEN,0
user_131,1.233,GREEN,0
user_132,0.8,GREEN,0
user_133,2.285,ORANGE,1
user_134,0.0,GREEN,0
user_135,0.0,GREEN,0
user_136,1.4,GREEN,0
user_137,1.4,GREEN,0
user_138,0.5,GREEN,0
user_139,0.8,GREEN,0
user_140,1.4,GREEN,0
user_141,1.4,GREEN,0
user_142,2.285,ORANGE,1
user_143,0.8,GREEN,0
user_144,1.4,GREEN,0
user_145,2.285,ORANGE,1
user_146,1.495,GREEN,0
user_147,2.769,ORANGE,1
user_148,1.4,GREEN,0
user_149,2.1,ORANGE,1
user_150,1.233,GREEN,0
user_151,1.233,GREEN,0
user_152,2.285,ORANGE,1
user_153,1.1,GREEN,0
user_154,1.4,GREEN,0
user_155,1.951,GREEN,0
user_156,1.233,GREEN,0
user_157,0.893,GREEN,0
user_158,2.285,ORANGE,1
user_159,1.233,GREEN,0
user_160,1.495,GREEN,0
user_161,2.1,ORANGE,1
user_162,0.8,GREEN,0
user_163,0.5,GREEN,0
user_164,1.4,GREEN,0
user_165,0.8,GREEN,0
user_166,0.5,GREEN,0
user_167,0.8,GREEN,0
user_168,0.442,GREEN,0
user_169,0.8,GREEN,0
user_170,2.285,ORANGE,1
user_171,0.8,GREEN,0
user_172,2.1,ORANGE,1
user_173,1.495,GREEN,0
user_174,1.4,GREEN,0
user_175,0.8,GREEN,0
user_176,0.8,GREEN,0
user_177,0.0,GREEN,0
user_178,1.1,GREEN,0
user_179,1.4,GREEN,0
user_180,0.442,GREEN,0
user_181,3.175,ORANGE,1
user_182,0.0,GREEN,0
user_183,0.8,GREEN,0
user_184,0.893,GREEN,0
user_185,1.951,GREEN,0
user_186,0.8,GREEN,0
user_187,0.8,GREEN,0
user_188,0.8,GREEN,0
user_189,0.8,GREEN,0
user_190,1.4,GREEN,0
user_191,1.4,GREEN,0
user_192,0.8,GREEN,0
user_193,1.4,GREEN,0
user_194,0.5,GREEN,0
user_195,0.8,GREEN,0
user_196,1.4,GREEN,0
user_197,1.4,GREEN,0
user_198,0.8,GREEN,0
user_199,1.4,GREEN,0
user_200,1.951,GREEN,0
user_201,0.8,GREEN,0
user_202,1.495,GREEN,0
user_203,1.1,GREEN,0
user_204,1.4,GREEN,0
user_205,1.233,GREEN,0
user_206,1.4,GREEN,0
user_207,0.8,GREEN,0
user_208,1.4,GREEN,0
user_209,0.0,GREEN,0
user_210,1.233,GREEN,0
user_211,1.1,GREEN,0
user_212,1.1,GREEN,0
user_213,1.951,GREEN,0
user_214,0.8,GREEN,0
user_215,0.893,GREEN,0
user_216,0.0,GREEN,0
user_217,2.285,ORANGE,1
user_218,1.4,GREEN,0
user_219,0.8,GREEN,0
user_220,0.893,GREEN,0
user_221,2.1,ORANGE,1
user_222,1.495,GREEN,0
user_223,0.8,GREEN,0
user_224,1.4,GREEN,0
user_225,1.4,GREEN,0
user_226,2.1,ORANGE,1
user_227,1.4,GREEN,0
user_228,1.951,GREEN,0
user_229,0.8,GREEN,0
user_230,1.4,GREEN,0
user_231,2.285,ORANGE,1
user_232,2.285,ORANGE,1
user_233,1.951,GREEN,0
user_234,0.8,GREEN,0
user_235,0.8,GREEN,0
user_236,1.4,GREEN,0
user_237,1.4,GREEN,0
user_238,2.1,ORANGE,1
user_239,0.8,GREEN,0
user_240,1.495,GREEN,0
user_241,1.1,GREEN,0
user_242,1.4,GREEN,0
user_243,1.4,GREEN,0
user_244,1.4,GREEN,0
user_245,0.0,GREEN,0
user_246,2.1,ORANGE,1
user_247,1.951,GREEN,0
user_248,1.951,GREEN,0
user_249,2.1,ORANGE,1
user_250,2.285,ORANGE,1
user_251,1.495,GREEN,0
user_252,1.4,GREEN,0
user_253,0.8,GREEN,0
user_254,1.4,GREEN,0
user_255,1.4,GREEN,0
user_256,1.4,GREEN,0
user_257,0.8,GREEN,0
user_258,2.285,ORANGE,1
user_259,1.4,GREEN,0
user_260,0.8,GREEN,0
user_261,2.1,ORANGE,1
user_262,1.4,GREEN,0
user_263,1.4,GREEN,0
user_264,2.1,ORANGE,1
user_265,0.8,GREEN,0
user_266,0.8,GREEN,0
user_267,0.8,GREEN,0
user_268,0.8,GREEN,0
user_269,1.4,GREEN,0
user_270,1.495,GREEN,0
user_271,1.4,GREEN,0
user_272,1.233,GREEN,0
user_273,1.233,GREEN,0
user_274,1.4,GREEN,0
user_275,1.233,GREEN,0
user_276,1.951,GREEN,0
user_277,0.8,GREEN,0
user_278,2.285,ORANGE,1
user_279,0.8,GREEN,0
user_280,1.4,GREEN,0
user_281,1.4,GREEN,0
user_282,0.8,GREEN,0
user_283,0.0,GREEN,0
user_284,3.175,ORANGE,1
user_285,0.8,GREEN,0
user_286,2.1,ORANGE,1
user_287,1.951,GREEN,0
user_288,2.1,ORANGE,1
user_289,0.5,GREEN,0
user_290,2.1,ORANGE,1
user_291,0.0,GREEN,0
user_292,1.4,GREEN,0
user_293,0.0,GREEN,0
user_294,0.0,GREEN,0
user_295,0.8,GREEN,0
user_296,0.8,GREEN,0
user_297,0.0,GREEN,0
user_298,1.4,GREEN,0
user_299,0.5,GREEN,0
user_300,1.4,GREEN,0
user_301,1.4,GREEN,0
user_302,1.4,GREEN,0
user_303,0.5,GREEN,0
user_304,0.8,GREEN,0
user_305,2.769,ORANGE,1
user_306,0.8,GREEN,0
user_307,1.132,GREEN,0
user_308,0.5,GREEN,0
user_309,0.0,GREEN,0
user_310,0.5,GREEN,0
user_311,1.4,GREEN,0
user_312,0.8,GREEN,0
user_313,0.8,GREEN,0
user_314,0.8,GREEN,0
user_315,1.4,GREEN,0
user_316,1.132,GREEN,0
user_317,2.769,ORANGE,1
user_318,1.4,GREEN,0
user_319,2.1,ORANGE,1
user_320,1.4,GREEN,0
user_321,0.5,GREEN,0
user_322,1.132,GREEN,0
user_323,1.951,GREEN,0
user_324,0.8,GREEN,0
user_325,0.275,GREEN,0
user_326,1.4,GREEN,0
user_327,1.233,GREEN,0
user_328,1.4,GREEN,0
user_329,0.442,GREEN,0
user_330,0.8,GREEN,0
user_331,0.8,GREEN,0
user_332,2.769,ORANGE,1
user_333,2.1,ORANGE,1
user_334,1.4,GREEN,0
user_335,0.0,GREEN,0
user_336,0.8,GREEN,0
user_337,1.4,GREEN,0
user_338,0.8,GREEN,0
user_339,0.8,GREEN,0
user_340,0.5,GREEN,0
user_341,0.8,GREEN,0
user_342,0.8,GREEN,0
user_343,0.0,GREEN,0
user_344,1.4,GREEN,0
user_345,0.0,GREEN,0
user_346,1.4,GREEN,0
user_347,1.4,GREEN,0
user_348,0.8,GREEN,0
user_349,0.5,GREEN,0
user_350,1.4,GREEN,0
user_351,1.4,GREEN,0
user_352,1.4,GREEN,0
user_353,1.4,GREEN,0
user_354,0.5,GREEN,0
user_355,1.4,GREEN,0
user_356,0.5,GREEN,0
user_357,0.8,GREEN,0
user_358,1.495,GREEN,0
user_359,0.8,GREEN,0
user_360,0.5,GREEN,0
user_361,1.4,GREEN,0
user_362,1.4,GREEN,0
user_363,2.285,ORANGE,1
user_364,0.8,GREEN,0
user_365,0.5,GREEN,0
user_366,2.285,ORANGE,1
user_367,1.495,GREEN,0
user_368,0.8,GREEN,0
user_369,0.8,GREEN,0
user_370,2.285,ORANGE,1
user_371,1.4,GREEN,0
user_372,0.8,GREEN,0
user_373,1.4,GREEN,0
user_374,2.1,ORANGE,1
user_375,0.8,GREEN,0
user_376,1.951,GREEN,0
user_377,0.0,GREEN,0
user_378,2.285,ORANGE,1
user_379,1.951,GREEN,0
user_380,0.8,GREEN,0
user_381,2.1,ORANGE,1
user_382,1.4,GREEN,0
user_383,1.4,GREEN,0
user_384,1.4,GREEN,0
user_385,0.8,GREEN,0
user_386,3.175,ORANGE,1
user_387,0.8,GREEN,0
user_388,2.285,ORANGE,1
user_389,1.612,GREEN,0
user_390,1.233,GREEN,0
user_391,1.4,GREEN,0
user_392,0.5,GREEN,0
user_393,2.285,ORANGE,1
user_394,2.285,ORANGE,1
user_395,0.8,GREEN,0
user_396,1.951,GREEN,0
user_397,0.8,GREEN,0
user_398,1.233,GREEN,0
user_399,0.5,GREEN,0
user_400,1.4,GREEN,0
user_401,2.285,ORANGE,1
user_402,0.8,GREEN,0
user_403,2.1,ORANGE,1
user_404,0.893,GREEN,0
user_405,2.1,ORANGE,1
user_406,0.8,GREEN,0
user_407,1.495,GREEN,0
user_408,1.495,GREEN,0
user_409,1.951,GREEN,0
user_410,0.8,GREEN,0
user_411,0.5,GREEN,0
user_412,0.0,GREEN,0
user_413,1.4,GREEN,0
user_414,1.612,GREEN,0
user_415,1.4,GREEN,0
user_416,2.1,ORANGE,1
user_417,1.495,GREEN,0
user_418,0.8,GREEN,0
user_419,1.233,GREEN,0
user_420,1.4,GREEN,0
user_421,1.4,GREEN,0
user_422,1.4,GREEN,0
user_423,0.8,GREEN,0
user_424,0.0,GREEN,0
user_425,1.951,GREEN,0
user_426,0.8,GREEN,0
user_427,2.1,ORANGE,1
user_428,2.285,ORANGE,1
user_429,1.4,GREEN,0
user_430,1.951,GREEN,0
user_431,0.8,GREEN,0
user_432,1.4,GREEN,0
user_433,1.233,GREEN,0
user_434,2.285,ORANGE,1
user_435,2.285,ORANGE,1
user_436,0.8,GREEN,0
user_437,0.5,GREEN,0
user_438,0.8,GREEN,0
user_439,0.8,GREEN,0
user_440,0.8,GREEN,0
user_441,0.8,GREEN,0
user_442,1.4,GREEN,0
user_443,0.8,GREEN,0
user_444,1.951,GREEN,0
user_445,0.8,GREEN,0
user_446,0.8,GREEN,0
user_447,1.233,GREEN,0
user_448,2.1,ORANGE,1
user_449,2.1,ORANGE,1
user_450,0.8,GREEN,0
user_451,1.4,GREEN,0
user_452,2.1,ORANGE,1
user_453,1.4,GREEN,0
user_454,0.8,GREEN,0
user_455,2.1,ORANGE,1
user_456,1.4,GREEN,0
user_457,1.4,GREEN,0
user_458,0.8,GREEN,0
user_459,0.8,GREEN,0
user_460,2.769,ORANGE,1
user_461,1.4,GREEN,0
user_462,1.233,GREEN,0
user_463,0.8,GREEN,0
user_464,0.8,GREEN,0
user_465,1.4,GREEN,0
user_466,1.4,GREEN,0
user_467,1.951,GREEN,0
user_468,0.8,GREEN,0
user_469,2.285,ORANGE,1
user_470,1.4,GREEN,0
user_471,0.442,GREEN,0
user_472,2.1,ORANGE,1
user_473,1.4,GREEN,0
user_474,0.8,GREEN,0
user_475,1.4,GREEN,0
user_476,1.4,GREEN,0
user_477,0.5,GREEN,0
user_478,0.0,GREEN,0
user_479,1.4,GREEN,0
user_480,0.8,GREEN,0
user_481,0.8,GREEN,0
user_482,1.495,GREEN,0
user_483,1.4,GREEN,0
user_484,1.495,GREEN,0
user_485,2.1,ORANGE,1
user_486,0.8,GREEN,0
user_487,0.8,GREEN,0
user_488,2.1,ORANGE,1
user_489,2.1,ORANGE,1
user_490,2.769,ORANGE,1
user_491,1.951,GREEN,0
user_492,1.951,GREEN,0
user_493,1.4,GREEN,0
user_494,0.8,GREEN,0
user_495,1.4,GREEN,0
user_496,1.495,GREEN,0
user_497,1.495,GREEN,0
user_498,0.8,GREEN,0
user_499,1.4,GREEN,0
user_500,2.285,ORANGE,1
